raw,5.0-5.3,5.4-5.7,5.8-5.11,6.0-6.5,6.6-6.11,7.0-7.5,7.6-7.11,8.0-8.5,8.6-9.3
1,91,86,82,77,72,68,65,62,59
2,94,89,84,80,75,71,67,64,61
3,97,91,87,82,77,73,69,66,63
4,99,94,90,85,80,75,72,69,65
5,102,97,92,87,82,78,74,71,68
6,105,99,95,89,84,80,76,73,70
7,107,102,97,92,86,82,78,75,72
8,110,104,99,94,89,84,81,78,75
9,112,107,102,96,91,87,83,80,77
10,115,109,104,99,93,89,85,82,80
11,118,112,107,101,96,91,87,85,83
12,120,114,109,103,98,93,90,87,85
13,122,116,111,106,100,96,92,90,88
14,125,119,114,108,102,98,94,92,92
15,127,121,116,110,105,100,97,95,95
16,130,124,118,112,107,102,99,97,99
17,130,126,120,115,109,105,102,100,104
18,130,128,123,117,111,107,104,103,115
19,130,130,125,119,114,109,107,106,116
20,130,130,127,121,116,112,110,110,116
21,130,130,129,124,118,114,112,114,116
22,130,130,130,126,120,117,115,118,116
23,130,130,130,128,123,119,118,124,116
24,130,130,130,130,125,122,122,130,116
25,130,130,130,130,127,125,125,130,116
26,130,130,130,130,130,127,129,130,116
27,130,130,130,130,130,130,130,130,116
28,130,130,130,130,130,130,130,130,116
29,130,130,130,130,130,130,130,130,116
30,130,130,130,130,130,130,130,130,116
