ss,DRIQ_grade_raw,DRIW_grade_raw
130,251--260,257--260
129,249--250,256
128,247--248,254--255
127,246,253
126,244--245,250--252
125,242--243,249
124,240--241,247--248
123,239,246
122,237--238,244--245
121,235--236,242--243
120,233--234,240--241
119,232,238--239
118,230--231,236--237
117,228--229,-
116,227,233--235
115,225--226,231--232
114,223--224,230
113,221--222,228--229
112,220,226--227
111,218--219,224--225
110,216--217,223
109,214--215,221--222
108,213,219--220
107,211--212,217--218
106,209--210,215--216
105,207--208,214
104,206,212--213
103,204--205,210--211
102,202--203,208--209
101,201,206--207
100,199--200,205
99,197--198,203--204
98,195--196,201--202
97,194,199--200
96,192--193,197--198
95,190--191,196
94,188--189,194--195
93,187,192--193
92,185--186,190--191
91,183--184,188--189
90,182,186--187
89,180--181,185
88,178--179,183--184
87,176--177,181--182
86,175,179--180
85,173--174,177--178
84,171--172,175--176
83,169--170,173--174
82,168,171--172
81,166--167,169--170
80,164--165,167--168
79,162--163,166
78,161,164--165
77,159--160,162--163
76,157--158,160--161
75,156,-
74,154--155,157--159
73,152--153,155--156
72,150--151,-
71,149,151--154
70,147--148,148--150
69,145--146,-
68,143--144,-
67,142,-
66,140--141,-
65,138--139,-
64,137,136--147
63,135--136,135
62,133--134,133--134
61,131--132,-
60,-,-
59,128--130,-
58,-,80--132
57,125--127,-
56,123--124,-
55,-,-
54,120--122,-
53,118--119,-
52,116--117,-
51,80--115,-
50,-,-
49,-,-
48,-,-
47,-,-
46,-,-
45,-,-
44,-,-
43,-,-
42,-,-
41,-,-
40,-,-
